participant,block,trial,practice,condition,FPType,conFPDur,extFixDur,actionTrigLatency,FP,orientation,Acc,responseGiven,response,RT,preRespGiven,preResp,preTime,ITI,countBalance,handedness,oneBackFP,condTestPos,numFP,numOneBackFP,squaredNumFP,seqOri,prevOri,numLogFP,logFP,logOneBackFP,logRT,invRT,RTzscore,logRTzscore,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,0,1,no,action,constant,short,NA,0.8980660438537598,1,right,1,1,8,0.6454908847808838,0,NA,NA,0.32,1,right,1,1,1,1,1,same,right,0,0,0,-0.19010988618968241,1.5492085536412443,1.6194562014698268,1.6081875272188373,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,2,no,action,constant,short,NA,0.749351978302002,1,left,1,1,7,0.7188811302185059,0,NA,NA,0.48,1,right,1,1,1,1,1,different,right,0,0,0,-0.14334291595659931,1.3910505617194977,2.3191944602810133,2.137825305904257,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,3,no,action,constant,short,NA,0.7868359088897705,1,left,1,1,7,0.536247968673706,0,NA,NA,0.47,1,right,1,1,1,1,1,same,left,0,0,0,-0.27063433992697933,1.8648089287373615,0.5778811604207493,0.6962449191191388,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,4,no,action,constant,short,NA,1.7297439575195313,1,left,1,1,7,0.58036208152771,0,NA,NA,0.17,1,right,1,1,1,1,1,same,left,0,0,0,-0.2363009703232657,1.7230622603180081,0.9984865465097954,1.0850716812777188,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,5,no,action,constant,short,NA,1.3142919540405271,1,right,1,1,8,0.5589110851287842,0,NA,NA,0.5,1,right,1,1,1,1,1,different,left,0,0,0,-0.25265727674566113,1.7891933558082502,0.7939623242450373,0.8998358672431503,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,6,no,action,constant,short,NA,0.866581916809082,1,left,1,1,7,0.4263019561767578,0,NA,NA,0.39,1,right,1,1,1,1,1,different,right,0,0,0,-0.37028267449614166,2.3457551285206146,-0.47039754322845667,-0.43227639213693353,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,7,no,action,constant,short,NA,0.7779738903045654,1,left,1,1,7,0.4275820255279541,0,NA,NA,0.4,1,right,1,1,1,1,1,same,left,0,0,0,-0.36898055972635396,2.338732547901789,-0.4581927400748146,-0.4175298911165195,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,8,no,action,constant,short,NA,0.761491060256958,1,left,1,1,7,0.4074230194091797,0,NA,NA,0.16,1,right,1,1,1,1,1,same,left,0,0,0,-0.38995443699526305,2.4544513990646375,-0.6503984992571389,-0.6550598767401637,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,9,no,action,constant,short,NA,0.611234188079834,1,right,1,1,8,0.4525160789489746,0,NA,NA,0.78,1,right,1,1,1,1,1,different,left,0,0,0,-0.34436598469137036,2.2098662269031975,-0.22045935981572665,-0.13876885999049593,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,10,no,action,constant,short,NA,0.5420408248901367,1,left,1,1,7,0.5337009429931641,0,NA,NA,0.19,1,right,1,1,1,1,1,different,right,0,0,0,-0.2727020298432819,1.8737085124708288,0.553596580035136,0.6728282494306235,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,11,no,action,constant,short,NA,0.6136360168457031,1,left,1,1,7,0.4234988689422607,0,NA,NA,0.49,1,right,1,1,1,1,1,same,left,0,0,0,-0.3731477452218005,2.3612813949128606,-0.49712353888451416,-0.4647234308771323,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,12,no,action,constant,short,NA,0.5311851501464844,1,left,1,1,7,0.4250960350036621,0,NA,NA,0.34,1,right,1,1,1,1,1,same,left,0,0,0,-0.37151294580695615,2.352409614903572,-0.481895381625015,-0.44620926315664405,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,13,no,action,constant,short,NA,0.432905912399292,1,right,1,1,8,0.4818391799926758,0,NA,NA,0.32,1,right,1,1,1,1,1,different,left,0,0,0,-0.3170978889312811,2.075381250680363,0.059121333025852825,0.17004339779263747,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,14,no,action,constant,short,NA,0.4737257957458496,1,left,1,1,7,0.4984989166259765,0,NA,NA,0.7,1,right,1,1,1,1,1,different,right,0,0,0,-0.3023357811915863,2.0060224137865066,0.21796335671069014,0.3372248489963318,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,15,no,action,constant,short,NA,0.3957960605621338,1,right,1,1,8,0.5149128437042236,0,NA,NA,0.21,1,right,1,1,1,1,1,different,left,0,0,0,-0.2882662752337397,1.9420762411093018,0.3744617126638457,0.4965625577590805,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,16,no,action,constant,short,NA,0.6124999523162842,1,left,1,1,7,0.3598001003265381,0,NA,NA,0.34,1,right,1,1,1,1,1,different,right,0,0,0,-0.44393871989192435,2.7793210704845435,-1.1044585487867047,-1.2664340054214103,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,17,no,action,constant,short,NA,0.5857291221618652,1,left,1,1,7,0.4287219047546386,0,NA,NA,0.2,1,right,1,1,1,1,1,same,left,0,0,0,-0.36782432644729746,2.3325143616636734,-0.4473245776837622,-0.4044355037206808,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,18,no,action,constant,short,NA,0.5948119163513184,1,left,1,1,7,0.3808820247650146,0,NA,NA,0.26,1,right,1,1,1,1,1,same,left,0,0,0,-0.41920952282230944,2.625484887655044,-0.9034532379173351,-0.9863748752415467,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,19,no,action,constant,short,NA,0.6988880634307861,1,right,1,1,8,0.362746000289917,0,NA,NA,0.18,1,right,1,1,1,1,1,different,left,0,0,0,-0.4403973674818041,2.756749899932105,-1.0763709071837242,-1.2263280499855473,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,20,no,action,constant,short,NA,0.5388801097869873,1,right,1,1,8,0.3818221092224121,0,NA,NA,0.27,1,right,1,1,1,1,1,same,right,0,0,0,-0.418138927604766,2.6190206796471758,-0.894490015932829,-0.9742503422631452,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,21,no,action,constant,short,NA,0.4917988777160644,1,left,1,1,7,0.3615190982818603,0,NA,NA,0.3,1,right,1,1,1,1,1,different,right,0,0,0,-0.44186875491346866,2.766105593736419,-1.0880687870549564,-1.2429915705644623,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,22,no,action,constant,short,NA,0.4593598842620849,1,left,1,1,7,0.4111838340759277,0,NA,NA,0.17,1,right,1,1,1,1,1,same,left,0,0,0,-0.3859639682093528,2.432002226564539,-0.6145410649219653,-0.6098676606707997,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,23,no,action,constant,short,NA,0.5193860530853271,1,right,1,1,8,0.3558769226074219,0,NA,NA,0.18,1,right,1,1,1,1,1,different,left,0,0,0,-0.44870017358425446,2.8099602319623544,-1.1418640313520205,-1.3203576559027332,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,24,no,action,constant,short,NA,0.3975470066070556,1,right,1,1,8,0.3927431106567383,0,NA,NA,0.16,1,right,1,1,1,1,1,same,right,0,0,0,-0.40589142444204285,2.5461936132445895,-0.7903638819682677,-0.8355468868710615,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,25,no,action,constant,short,NA,0.446674108505249,1,right,1,1,8,0.4081850051879883,0,NA,NA,0.17,1,right,1,1,1,1,1,same,right,0,0,0,-0.3891429532792468,2.4498695133091752,-0.6431333566087798,-0.6458697917154511,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,26,no,action,constant,short,NA,0.4544479846954345,1,left,1,1,7,0.3173549175262451,0,NA,NA,0.26,1,right,1,1,1,1,1,different,right,0,0,0,-0.4984547677518951,3.1510461781872356,-1.5091515448449266,-1.8838303932429492,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,27,no,action,constant,short,NA,0.461104154586792,1,left,1,1,7,0.5389020442962646,0,NA,NA,0.17,1,right,1,1,1,1,1,same,left,0,0,0,-0.2684901689278136,1.8556248034016438,0.6031864069669114,0.7205277400814531,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,28,no,action,constant,short,NA,0.4087488651275635,1,right,1,1,8,0.4315600395202636,0,NA,NA,0.2,1,right,1,1,1,1,1,different,left,0,0,0,-0.36495877580399677,2.317174688165366,-0.4202644218370579,-0.3719830298942981,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,29,no,action,constant,short,NA,0.5278408527374268,1,right,1,1,8,0.4166669845581054,0,NA,NA,0.37,1,right,1,1,1,1,1,same,right,0,0,0,-0.380210910371338,2.3999981689467096,-0.5622620440749806,-0.5447140542090445,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,30,no,action,constant,short,NA,0.4565529823303222,1,left,1,1,7,0.4179019927978515,0,NA,NA,0.19,1,right,1,1,1,1,1,different,right,0,0,0,-0.3789255578847375,2.392905554972365,-0.5504868754521707,-0.530157386705506,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,31,no,action,constant,short,NA,0.7039201259613037,1,right,1,1,8,0.4382448196411133,0,NA,NA,0.18,1,right,1,1,1,1,1,different,left,0,0,0,-0.3582832088669703,2.2818295965686906,-0.35652848016787936,-0.2963819715753348,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,32,no,action,constant,short,NA,0.4302399158477783,1,right,1,1,8,0.4099109172821045,0,NA,NA,0.76,1,right,1,1,1,1,1,same,right,0,0,0,-0.3873105148324703,2.4395544442447497,-0.6266776721183318,-0.6251173541790569,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,33,no,action,constant,short,NA,0.54917311668396,1,right,1,1,8,0.4696049690246582,0,NA,NA,0.39,1,right,1,1,1,1,1,same,right,0,0,0,-0.3282673163418471,2.129449358419143,-0.05752557869439117,0.0435491927278975,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,34,no,action,constant,short,NA,0.4692509174346924,1,left,1,1,7,0.3691210746765136,0,NA,NA,0.16,1,right,1,1,1,1,1,different,right,0,0,0,-0.43283115839569447,2.7091381896207616,-1.0155878504645526,-1.1406404342716323,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,35,no,action,constant,short,NA,0.4133200645446777,1,left,1,1,7,0.3301310539245605,0,NA,NA,0.25,1,right,1,1,1,1,1,same,left,0,0,0,-0.48131362164439584,3.0291000743859553,-1.3873376527618169,-1.6897062388824875,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,36,no,action,constant,short,NA,0.3999278545379638,1,right,1,1,8,0.4641249179840088,0,NA,NA,0.4,1,right,1,1,1,1,1,different,left,0,0,0,-0.3333651145104021,2.1545923548850583,-0.10977504795989003,-0.01418357218553526,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,37,no,action,constant,short,NA,0.425649881362915,1,right,1,1,8,0.4689719676971435,0,NA,NA,0.28,1,right,1,1,1,1,1,same,right,0,0,0,-0.32885311600195416,2.1323236118150843,-0.0635609209132257,0.036914988519511416,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,38,no,action,constant,short,NA,0.2668530941009521,1,right,1,1,8,0.4014480113983154,0,NA,NA,0.26,1,right,1,1,1,1,1,same,right,0,0,0,-0.39637068905217415,2.4909825721064625,-0.7073671287660656,-0.7277241838349215,-0.902093023255814,0.8137718226068146,-0.8968347010550997
1,0,39,no,action,constant,short,NA,0.4055900573730469,1,right,1,1,8,0.3607919216156006,0,NA,NA,0.21,1,right,1,1,1,1,1,same,right,0,0,0,-0.4427431951795549,2.771680683763847,-1.0950020427112435,-1.2528946409967516,-0.902093023255814,0.8137718226068146,-0.8968347010550997
