participant,date,Counterbalance,Handedness,block,condition,orientation,foreperiod,action_trigger.rt,extFixationDuration,ITI,corrAns,Response.keys,Acc,RT,oneBackFP
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,3.653398036956787,,0.6,7.0,7,1.0,0.3851029872894287,
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,1.2631101608276367,,0.46,7.0,7,1.0,0.5343799591064453,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,1.459726095199585,,0.18,7.0,7,1.0,0.4792399406433105,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,2.8,1.8481061458587649,,0.16,8.0,8,1.0,0.47210693359375,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,2.8,1.4481120109558103,,0.22,8.0,8,1.0,0.3841209411621094,2.8
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,1.273101806640625,,0.34,7.0,7,1.0,0.4940910339355469,2.8
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,1.3641138076782229,,0.36,7.0,7,1.0,0.5894758701324463,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,2.8,1.3847699165344238,,0.38,8.0,8,1.0,0.5450839996337891,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,1.0,1.4473929405212402,,0.22,8.0,8,1.0,0.6734049320220947,2.8
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,1.0,1.7769989967346191,,0.44,8.0,8,1.0,0.4877550601959228,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,2.116047143936157,,0.17,7.0,7,1.0,0.4154660701751709,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,1.0,1.9793758392333984,,0.48,8.0,8,1.0,0.6500589847564697,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,1.4104459285736084,,0.42,7.0,7,1.0,0.6257419586181641,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,2.8,1.7930200099945068,,0.29,7.0,7,1.0,0.4710381031036377,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,1.0,1.656040906906128,,0.33,7.0,7,1.0,0.6495809555053711,2.8
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,2.8,1.8260459899902344,,0.55,8.0,8,1.0,0.5567440986633301,1.0
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,2.8,1.45005202293396,,0.55,7.0,7,1.0,0.572058916091919,2.8
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,2.8,2.2186851501464844,,0.21,7.0,7,1.0,0.6757509708404541,2.8
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,right,2.8,1.4093379974365234,,0.47,8.0,8,1.0,0.4947290420532226,2.8
001,2023-11-07_12h04.36.475,1.0,1.0,0.0,action,left,2.8,1.6434650421142578,,0.29,7.0,7,1.0,0.5094699859619141,2.8
