,participant,errorRateAll,errorRateLeft,errorRateRight,errorRateAction,errorRateExternal,trimmedRTRate
0,1.0,0.3125,0.0,0.625,0.625,0.0,0.0
1,2.0,3.75,2.5,5.0,6.25,1.25,0.0
2,3.0,2.8125,4.375,1.25,2.5,3.125,0.0
3,4.0,2.8125,1.25,4.375,3.75,1.875,0.0
4,5.0,5.0,5.0,5.0,6.25,3.75,0.0
5,6.0,3.4375000000000004,2.5,4.375,3.75,3.125,0.0
6,7.0,8.75,10.625,6.875000000000001,8.75,8.75,0.0
7,8.0,1.5625,2.5,0.625,1.875,1.25,0.0
8,9.0,1.25,1.875,0.625,0.625,1.875,0.0
9,10.0,0.9375,1.25,0.625,1.875,0.0,0.0
10,11.0,2.1875,2.5,1.875,2.5,1.875,0.0
11,12.0,5.3125,5.0,5.625,6.875000000000001,3.75,0.0
12,13.0,0.3125,0.625,0.0,0.0,0.625,0.0
13,14.0,4.0625,5.0,3.125,4.375,3.75,0.0
14,15.0,11.875,12.5,11.25,12.5,11.25,0.0
15,16.0,16.875,16.25,17.5,25.0,8.75,0.0
16,17.0,2.5,2.5,2.5,1.25,3.75,0.0
17,19.0,1.25,0.625,1.875,0.0,2.5,0.0
18,20.0,6.25,6.25,6.25,1.875,10.625,0.0
19,21.0,2.1875,1.875,2.5,1.875,2.5,0.0
20,22.0,2.1875,1.25,3.125,2.5,1.875,0.0
21,23.0,34.6875,33.125,36.25,2.5,66.875,0.0
22,24.0,7.5,11.25,3.75,3.75,11.25,0.0
23,25.0,0.9375,1.25,0.625,1.25,0.625,0.0
24,26.0,6.875000000000001,6.875000000000001,6.875000000000001,10.0,3.75,0.0
25,27.0,3.75,2.5,5.0,5.0,2.5,0.0
26,28.0,0.0,0.0,0.0,0.0,0.0,0.0
27,29.0,1.25,1.25,1.25,1.25,1.25,0.0
28,30.0,2.8125,0.625,5.0,1.875,3.75,0.0
