2023-10-16 16:00:44.708721
Experiment: 	Action_FP_4
Participant: 	013
Counterbalancing order: 	1
Handedness: 	right
Frame Rate: 	120.05094782999454

participant	block	trial	practice	condition	FPType	conFPDur	extFixDur	actionTrigLatency	FP	orientation	Acc	responseGiven	response	RT	preRespGiven	preResp	preTime	ITI
013	0	0	yes	action	practice	NaN	NaN	2.4692609310150146	2.8	left	1	1	7	0.6774320602416992	0	NaN	NaN	0.44
013	0	1	yes	action	practice	NaN	NaN	3.607149124145508	1.0	right	1	1	8	0.6453919410705566	0	NaN	NaN	0.53
013	0	2	yes	action	practice	NaN	NaN	3.596919059753418	2.8	right	1	1	8	0.7444579601287842	0	NaN	NaN	0.33
013	0	3	yes	action	practice	NaN	NaN	2.56624698638916	1.0	left	1	1	7	0.6388199329376221	0	NaN	NaN	0.4
013	0	4	yes	action	practice	NaN	NaN	0.6965579986572266	1.0	right	1	1	8	0.4971580505371094	0	NaN	NaN	0.32
013	0	5	yes	action	practice	NaN	NaN	1.1370489597320557	2.8	right	1	1	8	0.5466639995574951	0	NaN	NaN	0.2
013	0	6	yes	action	practice	NaN	NaN	16.604612827301025	1.0	left	1	1	7	0.8407089710235596	0	NaN	NaN	0.21
013	0	7	yes	action	practice	NaN	NaN	0.7605741024017334	2.8	left	1	1	7	0.6280779838562012	0	NaN	NaN	0.32
013	0	0	no	action	constant	short	NaN	1.5914900302886963	1.0	left	1	1	7	0.501784086227417	0	NaN	NaN	0.28
013	0	1	no	action	constant	short	NaN	0.5337409973144531	1.0	right	1	1	8	0.4256870746612549	0	NaN	NaN	0.41
013	0	2	no	action	constant	short	NaN	0.5773069858551025	1.0	left	1	1	7	0.5240941047668457	0	NaN	NaN	0.34
013	0	3	no	action	constant	short	NaN	0.7540080547332764	1.0	left	1	1	7	0.5844888687133789	0	NaN	NaN	0.55
013	0	4	no	action	constant	short	NaN	0.562175989151001	1.0	left	1	1	7	0.4941129684448242	0	NaN	NaN	0.2
013	0	5	no	action	constant	short	NaN	0.9561522006988525	1.0	right	1	1	8	0.5378022193908691	0	NaN	NaN	0.45
013	0	6	no	action	constant	short	NaN	0.6314551830291748	1.0	left	1	1	7	0.576495885848999	0	NaN	NaN	0.33
013	0	7	no	action	constant	short	NaN	0.7402670383453369	1.0	right	1	1	8	0.37180113792419434	0	NaN	NaN	0.39
013	0	8	no	action	constant	short	NaN	0.6616129875183105	1.0	left	1	1	7	0.5579469203948975	0	NaN	NaN	0.21
013	0	9	no	action	constant	short	NaN	0.9657020568847656	1.0	left	1	1	7	0.4889059066772461	0	NaN	NaN	0.22
013	0	10	no	action	constant	short	NaN	0.6348199844360352	1.0	right	1	1	8	0.4048299789428711	0	NaN	NaN	0.21
013	0	11	no	action	constant	short	NaN	0.7107291221618652	1.0	right	1	1	8	0.4662928581237793	0	NaN	NaN	0.37
