2023-09-28 18:52:30.459779
Experiment: 	Action_FP_4
Participant: 	007
Counterbalancing order: 	3
Handedness: 	right
Frame Rate: 	119.9963380023803

participant	block	trial	practice	condition	FPType	conFPDur	extFixDur	actionTrigLatency	FP	orientation	Acc	responseGiven	response	RT	preRespGiven	preResp	preTime	ITI
007	0	0	yes	action	practice	NaN	NaN	11.459315061569214	2.8	right	1	1	8	0.8301308155059814	0	NaN	NaN	0.31
007	0	1	yes	action	practice	NaN	NaN	2.828169107437134	1.0	right	1	1	8	0.7808918952941895	0	NaN	NaN	0.48
007	0	2	yes	action	practice	NaN	NaN	1.4584119319915771	2.8	left	1	1	7	0.4854109287261963	0	NaN	NaN	0.21
007	0	3	yes	action	practice	NaN	NaN	1.5893959999084473	2.8	right	1	1	8	0.5134119987487793	0	NaN	NaN	0.35
007	0	4	yes	action	practice	NaN	NaN	1.1211791038513184	1.0	left	1	1	7	0.4787578582763672	0	NaN	NaN	0.28
007	0	5	yes	action	practice	NaN	NaN	0.7065391540527344	1.0	left	1	1	7	0.6074581146240234	0	NaN	NaN	0.41
007	0	6	yes	action	practice	NaN	NaN	0.8413519859313965	1.0	left	1	1	7	0.5074851512908936	0	NaN	NaN	0.39
007	0	7	yes	action	practice	NaN	NaN	0.793328046798706	2.8	right	1	1	8	0.45212292671203613	0	NaN	NaN	0.45
007	0	0	no	action	variable	NaN	NaN	4.837911128997803	2.8	right	1	1	8	0.5406129360198975	0	NaN	NaN	0.17
007	0	1	no	action	variable	NaN	NaN	0.7447290420532227	2.8	right	0	1	7	0.4199550151824951	0	NaN	NaN	0.22
007	0	2	no	action	variable	NaN	NaN	2.5678329467773438	2.8	left	1	1	7	0.48666810989379883	0	NaN	NaN	0.23
007	0	3	no	action	variable	NaN	NaN	0.5185270309448242	2.8	right	1	1	8	0.5345950126647949	0	NaN	NaN	0.42
007	0	4	no	action	variable	NaN	NaN	0.6881420612335205	1.0	right	1	1	8	0.6882350444793701	0	NaN	NaN	0.8
007	0	5	no	action	variable	NaN	NaN	0.615515947341919	1.0	right	1	1	8	0.6136620044708252	0	NaN	NaN	0.17
007	0	6	no	action	variable	NaN	NaN	0.7256600856781006	2.8	right	1	1	8	0.5158929824829102	0	NaN	NaN	0.18
007	0	7	no	action	variable	NaN	NaN	0.47995686531066895	1.0	left	1	1	7	0.5895571708679199	0	NaN	NaN	0.36
007	0	8	no	action	variable	NaN	NaN	0.5534110069274902	1.0	right	1	1	8	0.477247953414917	0	NaN	NaN	0.29
007	0	9	no	action	variable	NaN	NaN	0.7352440357208252	1.0	left	1	1	7	0.4902961254119873	0	NaN	NaN	0.41
007	0	10	no	action	variable	NaN	NaN	0.7190859317779541	1.0	left	1	1	7	0.38523292541503906	0	NaN	NaN	0.25
007	0	11	no	action	variable	NaN	NaN	0.4412198066711426	2.8	right	1	1	8	0.4296150207519531	0	NaN	NaN	0.42
007	0	12	no	action	variable	NaN	NaN	0.6153419017791748	2.8	right	1	1	8	0.48436903953552246	0	NaN	NaN	0.4
007	0	13	no	action	variable	NaN	NaN	0.47429990768432617	2.8	right	1	1	8	0.5554001331329346	0	NaN	NaN	0.23
007	0	14	no	action	variable	NaN	NaN	0.8613369464874268	1.0	left	1	1	7	0.5556728839874268	0	NaN	NaN	0.49
007	0	15	no	action	variable	NaN	NaN	0.46935415267944336	1.0	left	1	1	7	0.4953498840332031	0	NaN	NaN	0.57
007	0	16	no	action	variable	NaN	NaN	0.6829509735107422	1.0	left	1	1	7	0.5053451061248779	0	NaN	NaN	0.33
007	0	17	no	action	variable	NaN	NaN	0.48511290550231934	1.0	right	1	1	8	0.45473790168762207	0	NaN	NaN	0.25
007	0	18	no	action	variable	NaN	NaN	0.486644983291626	2.8	right	1	1	8	0.519320011138916	0	NaN	NaN	0.39
007	0	19	no	action	variable	NaN	NaN	0.5149500370025635	1.0	right	1	1	8	0.549252986907959	0	NaN	NaN	0.24
007	0	20	no	action	variable	NaN	NaN	0.5011529922485352	2.8	left	1	1	7	0.46764612197875977	0	NaN	NaN	0.59
007	0	21	no	action	variable	NaN	NaN	0.6753900051116943	1.0	left	1	1	7	0.5631711483001709	0	NaN	NaN	0.27
007	0	22	no	action	variable	NaN	NaN	0.9549500942230225	1.0	left	1	1	7	0.4340090751647949	0	NaN	NaN	0.4
007	0	23	no	action	variable	NaN	NaN	0.6256208419799805	2.8	left	1	1	7	0.5110371112823486	0	NaN	NaN	0.19
007	0	24	no	action	variable	NaN	NaN	0.8691599369049072	1.0	right	1	1	8	0.5446610450744629	0	NaN	NaN	0.25
