2023-10-03 18:13:29.772828
Experiment: 	Action_FP_4
Participant: 	011
Counterbalancing order: 	3
Handedness: 	right
Frame Rate: 	119.94280681285247

participant	block	trial	practice	condition	FPType	conFPDur	extFixDur	actionTrigLatency	FP	orientation	Acc	responseGiven	response	RT	preRespGiven	preResp	preTime	ITI
011	0	0	yes	action	practice	NaN	NaN	1.8367640972137451	2.8	right	1	1	8	0.6881880760192871	0	NaN	NaN	0.2
011	0	1	yes	action	practice	NaN	NaN	1.4241490364074707	2.8	left	1	1	7	0.42119884490966797	0	NaN	NaN	0.52
011	0	2	yes	action	practice	NaN	NaN	1.0608298778533936	2.8	left	1	1	7	0.6158950328826904	0	NaN	NaN	0.3
011	0	3	yes	action	practice	NaN	NaN	1.3798000812530518	1.0	left	1	1	7	0.4848048686981201	0	NaN	NaN	0.53
011	0	4	yes	action	practice	NaN	NaN	1.4382610321044922	1.0	right	1	1	8	0.4441409111022949	0	NaN	NaN	0.19
011	0	5	yes	action	practice	NaN	NaN	0.8460559844970703	1.0	left	1	1	7	0.5147519111633301	0	NaN	NaN	0.4
011	0	6	yes	action	practice	NaN	NaN	1.0165109634399414	2.8	right	1	1	8	0.5020790100097656	0	NaN	NaN	0.18
011	0	7	yes	action	practice	NaN	NaN	1.3481760025024414	1.0	right	1	1	8	0.6010980606079102	0	NaN	NaN	0.21
011	0	0	no	action	variable	NaN	NaN	1.239678144454956	2.8	right	1	1	8	0.556837797164917	0	NaN	NaN	0.42
011	0	1	no	action	variable	NaN	NaN	1.0746469497680664	1.0	left	1	1	7	0.5491759777069092	0	NaN	NaN	0.38
011	0	2	no	action	variable	NaN	NaN	0.6389899253845215	2.8	right	1	1	8	0.4485440254211426	0	NaN	NaN	0.29
011	0	3	no	action	variable	NaN	NaN	0.950502872467041	2.8	right	1	1	8	0.49091100692749023	0	NaN	NaN	0.24
011	0	4	no	action	variable	NaN	NaN	0.6006338596343994	1.0	right	1	1	8	0.5372390747070312	0	NaN	NaN	0.32
011	0	5	no	action	variable	NaN	NaN	0.4750969409942627	2.8	left	1	1	7	0.46367788314819336	0	NaN	NaN	0.52
011	0	6	no	action	variable	NaN	NaN	0.4770848751068115	1.0	right	1	1	8	0.45154881477355957	0	NaN	NaN	0.28
011	0	7	no	action	variable	NaN	NaN	0.6355559825897217	2.8	right	1	1	8	0.47892117500305176	0	NaN	NaN	0.42
011	0	8	no	action	variable	NaN	NaN	0.518704891204834	1.0	left	1	1	7	0.6035559177398682	0	NaN	NaN	0.53
011	0	9	no	action	variable	NaN	NaN	0.8091349601745605	2.8	left	1	1	7	0.563899040222168	0	NaN	NaN	0.35
011	0	10	no	action	variable	NaN	NaN	0.7878701686859131	2.8	right	1	1	8	0.4345719814300537	0	NaN	NaN	0.3
011	0	11	no	action	variable	NaN	NaN	0.7067158222198486	2.8	left	1	1	7	0.5963728427886963	0	NaN	NaN	0.34
011	0	12	no	action	variable	NaN	NaN	0.7703378200531006	1.0	right	1	1	8	0.5799851417541504	0	NaN	NaN	0.2
011	0	13	no	action	variable	NaN	NaN	0.730010986328125	2.8	right	1	1	8	0.5990538597106934	0	NaN	NaN	0.22
011	0	14	no	action	variable	NaN	NaN	0.7007989883422852	1.0	left	1	1	7	0.7083780765533447	0	NaN	NaN	0.37
011	0	15	no	action	variable	NaN	NaN	0.5661060810089111	1.0	left	1	1	7	0.6668930053710938	0	NaN	NaN	0.2
